terms     sum_up           sum_down         rel_diff      
      1   1.00000000e+00   1.00000000e+00   0.00000000e+00
      2   1.50000000e+00   1.50000000e+00   0.00000000e+00
      3   1.83333337e+00   1.83333337e+00   0.00000000e+00
      4   2.08333349e+00   2.08333325e+00   1.14440915e-07
      5   2.28333354e+00   2.28333330e+00   1.04416891e-07
      6   2.45000029e+00   2.45000005e+00   9.73137020e-08
      7   2.59285736e+00   2.59285712e+00   9.19520673e-08
      8   2.71785736e+00   2.71785712e+00   8.77229951e-08
      9   2.82896852e+00   2.82896829e+00   8.42775663e-08
     10   2.92896843e+00   2.92896843e+00   0.00000000e+00
     15   3.31822896e+00   3.31822920e+00   7.18511544e-08
     20   3.59773970e+00   3.59773970e+00   0.00000000e+00
     25   3.81595826e+00   3.81595826e+00   0.00000000e+00
     30   3.99498725e+00   3.99498725e+00   0.00000000e+00
     35   4.14678192e+00   4.14678144e+00   1.14989696e-07
     40   4.27854347e+00   4.27854347e+00   0.00000000e+00
     45   4.39494848e+00   4.39494848e+00   0.00000000e+00
     50   4.49920559e+00   4.49920559e+00   0.00000000e+00
     55   4.59361267e+00   4.59361267e+00   0.00000000e+00
     60   4.67987108e+00   4.67987061e+00   1.01891096e-07
     65   4.75927639e+00   4.75927591e+00   1.00191109e-07
     70   4.83283758e+00   4.83283710e+00   9.86660922e-08
     75   4.90135622e+00   4.90135574e+00   9.72867866e-08
     80   4.96547985e+00   4.96547937e+00   9.60304334e-08
     85   5.02573824e+00   5.02573776e+00   9.48790344e-08
     90   5.08257103e+00   5.08257008e+00   1.87636218e-07
     95   5.13634682e+00   5.13634586e+00   1.85671738e-07
    100   5.18737793e+00   5.18737698e+00   1.83845174e-07
    125   5.40952444e+00   5.40952396e+00   8.81477078e-08
    150   5.59118080e+00   5.59118080e+00   0.00000000e+00
    175   5.74485636e+00   5.74485636e+00   0.00000000e+00
    200   5.87803221e+00   5.87803125e+00   1.62243822e-07
    225   5.99553728e+00   5.99553728e+00   0.00000000e+00
    250   6.10067606e+00   6.10067558e+00   7.81613636e-08
    275   6.19580460e+00   6.19580412e+00   7.69612996e-08
    300   6.28266525e+00   6.28266430e+00   1.51794552e-07
    325   6.36258078e+00   6.36257839e+00   3.74720003e-07
    350   6.43657923e+00   6.43657684e+00   3.70412010e-07
    375   6.50547600e+00   6.50547409e+00   2.93191306e-07
    400   6.56993103e+00   6.56992960e+00   2.17736172e-07
    425   6.63048220e+00   6.63048029e+00   2.87663681e-07
    450   6.68757486e+00   6.68757391e+00   1.42603923e-07
    475   6.74158335e+00   6.74158239e+00   1.41461484e-07
    500   6.79282427e+00   6.79282284e+00   2.10591580e-07
    525   6.84156704e+00   6.84156561e+00   2.09091226e-07
    550   6.88804340e+00   6.88804293e+00   6.92267932e-08
    575   6.93245554e+00   6.93245459e+00   1.37566602e-07
    600   6.97497988e+00   6.97497797e+00   2.73455839e-07
    625   7.01576853e+00   7.01576662e+00   2.71865986e-07
    650   7.05495787e+00   7.05495644e+00   2.02766856e-07
    675   7.09266996e+00   7.09266853e+00   2.01688735e-07
    700   7.12901211e+00   7.12900972e+00   3.34434304e-07
    725   7.16407967e+00   7.16407633e+00   4.65916202e-07
    750   7.19795895e+00   7.19795513e+00   5.29969441e-07
    775   7.23072720e+00   7.23072338e+00   5.27567749e-07
    800   7.26245642e+00   7.26245260e+00   5.25262806e-07
    825   7.29320908e+00   7.29320526e+00   5.23047959e-07
    850   7.32304716e+00   7.32304096e+00   8.46489911e-07
    875   7.35201788e+00   7.35201120e+00   9.08012396e-07
    900   7.38017273e+00   7.38016605e+00   9.04548358e-07
    925   7.40755701e+00   7.40755033e+00   9.01204430e-07
    950   7.43421173e+00   7.43420410e+00   1.02625518e-06
    975   7.46017361e+00   7.46016645e+00   9.58766009e-07
   1000   7.48547840e+00   7.48547173e+00   8.91823163e-07
   1125   7.60320377e+00   7.60319901e+00   6.27153156e-07
   1250   7.70851898e+00   7.70851564e+00   4.33009347e-07
   1375   7.80379248e+00   7.80378914e+00   4.27722910e-07
   1500   7.89077091e+00   7.89076996e+00   1.20859468e-07
   1625   7.97078800e+00   7.97078705e+00   1.19646188e-07
   1750   8.04487514e+00   8.04487228e+00   3.55633034e-07
   1875   8.11384583e+00   8.11384583e+00   0.00000000e+00
   2000   8.17836857e+00   8.17836952e+00   1.16609350e-07
   2125   8.23898315e+00   8.23897934e+00   4.63005932e-07
   2250   8.29612732e+00   8.29612446e+00   3.44862542e-07
   2375   8.35018444e+00   8.35017967e+00   5.71050009e-07
   2500   8.40146637e+00   8.40146255e+00   4.54051474e-07
   2625   8.45024681e+00   8.45024300e+00   4.51430367e-07
   2750   8.49676037e+00   8.49675465e+00   6.73438763e-07
